id,name,district,state,registered_on,is_active
43,Prakash Hosamani,Mandya,Karnataka,2024-12-26 00:00:00,True
44,Nagaraj Naik,Sangli,Maharashtra,2020-05-07 00:00:00,True
45,Geeta Kulkarni,Hassan,Karnataka,2024-06-02 00:00:00,False
46,Hanumanth Desai,Mandya,Karnataka,2019-09-03 00:00:00,True
47,Mallikarjun Hiremath,Dharwad,Karnataka,2024-04-13 00:00:00,False
48,Lakshman Kulkarni,Hassan,Karnataka,2023-02-14 00:00:00,True
49,Hanumanth Mane,Hassan,Karnataka,2021-04-22 00:00:00,True
50,Ganesh Jadhav,Gulbarga,Karnataka,2020-11-21 00:00:00,True
51,Parvati Hiremath,Bellary,Karnataka,2019-08-20 00:00:00,True
52,Mahadev Shetty,Dharwad,Karnataka,2023-05-05 00:00:00,True
53,Lakshman Kamble,Dharwad,Karnataka,2021-03-15 00:00:00,True
54,Prakash Patil,Sangli,Maharashtra,2024-09-10 00:00:00,True
55,Shivanand Biradar,Dharwad,Karnataka,2019-02-24 00:00:00,True
56,Prakash Shetty,Raichur,Karnataka,2024-06-07 00:00:00,True
57,Hanumanth Talwar,Raichur,Karnataka,2021-01-03 00:00:00,True
58,Suresh Patil,Raichur,Karnataka,2021-03-21 00:00:00,True
59,Geeta Badiger,Bijapur,Karnataka,2023-12-14 00:00:00,True
60,Mahadev Naik,Dharwad,Karnataka,2023-01-27 00:00:00,True
61,Shivanand Hosamani,Tumkur,Karnataka,2020-01-10 00:00:00,True
62,Siddappa Shetty,Belgaum,Karnataka,2024-04-22 00:00:00,False
63,Sunanda Hosamani,Tumkur,Karnataka,2023-12-05 00:00:00,True
64,Sunanda Desai,Gulbarga,Karnataka,2025-03-14 00:00:00,False
65,Manjunath Hosamani,Sangli,Maharashtra,2025-11-28 00:00:00,True
66,Ganesh Desai,Gulbarga,Karnataka,2025-12-04 00:00:00,True
67,Sunanda Talwar,Belgaum,Karnataka,2020-04-27 00:00:00,True
68,Prakash Angadi,Bellary,Karnataka,2020-01-22 00:00:00,True
69,Ganesh Hiremath,Bellary,Karnataka,2025-05-12 00:00:00,True
70,Savitri Mane,Mysore,Karnataka,2019-02-09 00:00:00,True
71,Suresh Gowda,Raichur,Karnataka,2023-07-12 00:00:00,True
72,Chandru Gowda,Bellary,Karnataka,2022-10-07 00:00:00,True
73,Chandru Patil,Sangli,Maharashtra,2023-09-22 00:00:00,True
74,Geeta Shetty,Sangli,Maharashtra,2021-07-03 00:00:00,True
75,Mallikarjun Mane,Bellary,Karnataka,2024-02-24 00:00:00,True
76,Prakash Hosamani,Tumkur,Karnataka,2021-07-23 00:00:00,True
77,Vittal Hosamani,Bijapur,Karnataka,2024-07-22 00:00:00,True
78,Mallikarjun Chougule,Bijapur,Karnataka,2022-09-27 00:00:00,False
79,Vittal Hosamani,Raichur,Karnataka,2025-10-20 00:00:00,True
80,Gurappa Badiger,Mandya,Karnataka,2024-04-17 00:00:00,True
81,Ningappa Hiremath,Sangli,Maharashtra,2021-09-22 00:00:00,True
82,Mahadev Angadi,Bellary,Karnataka,2024-05-08 00:00:00,True
83,Ramesh Kulkarni,Bijapur,Karnataka,2020-08-20 00:00:00,True
84,Gurappa Hosamani,Dharwad,Karnataka,2024-10-07 00:00:00,True
85,Nagaraj Jadhav,Mysore,Karnataka,2020-03-21 00:00:00,True
86,Parvati Hosamani,Dharwad,Karnataka,2020-03-26 00:00:00,True
87,Gurappa Kulkarni,Tumkur,Karnataka,2023-04-28 00:00:00,True
88,Shobha Badiger,Bijapur,Karnataka,2024-09-18 00:00:00,True
89,Mallikarjun Hosamani,Mandya,Karnataka,2025-09-15 00:00:00,True
90,Sunanda Talwar,Sangli,Maharashtra,2022-05-25 00:00:00,True
91,Ganesh Talwar,Solapur,Maharashtra,2024-04-09 00:00:00,True
92,Prakash Angadi,Sangli,Maharashtra,2021-06-11 00:00:00,True
93,Shivanand Naik,Dharwad,Karnataka,2020-07-23 00:00:00,True
94,Mahadev Hosamani,Gulbarga,Karnataka,2022-06-18 00:00:00,True
95,Vittal Hosamani,Belgaum,Karnataka,2022-10-23 00:00:00,False
96,Yallappa Talwar,Hassan,Karnataka,2019-06-10 00:00:00,True
97,Devendra Angadi,Mysore,Karnataka,2022-04-09 00:00:00,True
98,Yallappa Mane,Belgaum,Karnataka,2024-11-26 00:00:00,True
99,Lakshmi Badiger,Bijapur,Karnataka,2020-10-18 00:00:00,False
100,Sharanappa Patil,Mysore,Karnataka,2019-11-14 00:00:00,True
101,Ningappa Kulkarni,Mandya,Karnataka,2021-07-11 00:00:00,True
102,Manjunath Jadhav,Bellary,Karnataka,2021-07-09 00:00:00,True
103,Ramesh Kulkarni,Mandya,Karnataka,2021-04-21 00:00:00,False
104,Suresh Patil,Solapur,Maharashtra,2020-04-27 00:00:00,False
105,Lakshman Naik,Bijapur,Karnataka,2022-11-04 00:00:00,True
106,Gurappa Biradar,Gulbarga,Karnataka,2025-06-06 00:00:00,True
107,Renuka Gowda,Sangli,Maharashtra,2025-03-10 00:00:00,False
108,Prakash Jadhav,Belgaum,Karnataka,2022-12-07 00:00:00,False
109,Lakshmi Angadi,Sangli,Maharashtra,2019-12-25 00:00:00,True
110,Mallikarjun Gowda,Solapur,Maharashtra,2025-10-26 00:00:00,False
111,Chandru Kamble,Tumkur,Karnataka,2019-09-21 00:00:00,True
112,Lakshmi Talwar,Mysore,Karnataka,2019-07-12 00:00:00,True
113,Renuka Naik,Mandya,Karnataka,2022-03-24 00:00:00,True
114,Ganesh Talwar,Solapur,Maharashtra,2022-07-27 00:00:00,True
115,Manjunath Angadi,Raichur,Karnataka,2025-02-09 00:00:00,True
116,Parvati Badiger,Gulbarga,Karnataka,2023-10-22 00:00:00,True
117,Nagaraj Mane,Belgaum,Karnataka,2020-08-07 00:00:00,True
118,Manjunath Biradar,Raichur,Karnataka,2023-12-09 00:00:00,True
119,Vittal Hiremath,Tumkur,Karnataka,2020-12-14 00:00:00,True
120,Renuka Talwar,Gulbarga,Karnataka,2024-12-16 00:00:00,True
121,Mahadev Chougule,Belgaum,Karnataka,2020-07-23 00:00:00,True
122,Sharanappa Kamble,Solapur,Maharashtra,2022-09-17 00:00:00,True
123,Devendra Mane,Sangli,Maharashtra,2021-12-15 00:00:00,True
124,Lakshman Gowda,Raichur,Karnataka,2024-04-11 00:00:00,False
125,Parvati Desai,Tumkur,Karnataka,2020-04-24 00:00:00,True
126,Sharanappa Chougule,Sangli,Maharashtra,2019-04-10 00:00:00,True
127,Prakash Patil,Bijapur,Karnataka,2024-09-05 00:00:00,True
128,Devendra Chougule,Belgaum,Karnataka,2024-03-21 00:00:00,True
129,Basavaraj Patil,Mandya,Karnataka,2023-05-16 00:00:00,True
130,Ningappa Kulkarni,Bellary,Karnataka,2021-08-04 00:00:00,True
131,Nagaraj Hiremath,Mysore,Karnataka,2023-11-22 00:00:00,False
132,Shobha Chougule,Bijapur,Karnataka,2019-04-04 00:00:00,True
133,Mallikarjun Angadi,Mysore,Karnataka,2025-09-13 00:00:00,True
134,Prakash Hosamani,Mandya,Karnataka,2021-10-20 00:00:00,False
135,Basavaraj Shetty,Sangli,Maharashtra,2024-04-09 00:00:00,True
136,Lakshman Desai,Bijapur,Karnataka,2023-02-06 00:00:00,False
137,Renuka Talwar,Mandya,Karnataka,2021-01-08 00:00:00,True
138,Renuka Badiger,Raichur,Karnataka,2019-11-08 00:00:00,True
139,Sharanappa Shetty,Solapur,Maharashtra,2022-02-18 00:00:00,True
140,Ganesh Naik,Bijapur,Karnataka,2019-01-06 00:00:00,True
141,Geeta Chougule,Hassan,Karnataka,2022-02-15 00:00:00,True
142,Yallappa Biradar,Sangli,Maharashtra,2023-09-16 00:00:00,True
143,Suresh Hosamani,Hassan,Karnataka,2024-06-20 00:00:00,True
144,Lakshman Patil,Dharwad,Karnataka,2025-11-27 00:00:00,True
145,Parvati Desai,Belgaum,Karnataka,2022-09-21 00:00:00,True
146,Ningappa Hosamani,Raichur,Karnataka,2024-08-03 00:00:00,True
147,Manjunath Mane,Mysore,Karnataka,2024-02-28 00:00:00,True
148,Renuka Talwar,Mysore,Karnataka,2021-11-13 00:00:00,True
149,Suresh Badiger,Tumkur,Karnataka,2019-06-09 00:00:00,True
150,Sunanda Patil,Mysore,Karnataka,2024-09-15 00:00:00,True
151,Hanumanth Kamble,Gulbarga,Karnataka,2023-08-21 00:00:00,True
152,Vittal Biradar,Belgaum,Karnataka,2023-03-10 00:00:00,True
153,Nagaraj Gowda,Sangli,Maharashtra,2019-11-20 00:00:00,True
154,Ningappa Chougule,Sangli,Maharashtra,2023-01-18 00:00:00,True
155,Lakshmi Gowda,Gulbarga,Karnataka,2022-02-21 00:00:00,True
156,Renuka Chougule,Mandya,Karnataka,2023-12-09 00:00:00,True
157,Nagaraj Angadi,Mandya,Karnataka,2022-09-05 00:00:00,True
158,Hanumanth Naik,Hassan,Karnataka,2025-02-09 00:00:00,True
159,Manjunath Biradar,Mysore,Karnataka,2025-01-10 00:00:00,True
160,Sharanappa Talwar,Hassan,Karnataka,2025-03-15 00:00:00,True
161,Manjunath Jadhav,Bellary,Karnataka,2022-06-28 00:00:00,True
162,Lakshman Jadhav,Sangli,Maharashtra,2020-07-02 00:00:00,True
163,Renuka Jadhav,Mandya,Karnataka,2022-11-26 00:00:00,True
164,Nagaraj Kulkarni,Bijapur,Karnataka,2020-09-19 00:00:00,True
165,Sunanda Badiger,Dharwad,Karnataka,2019-09-15 00:00:00,False
166,Chandru Naik,Bijapur,Karnataka,2019-08-26 00:00:00,True
167,Mallikarjun Jadhav,Bellary,Karnataka,2024-02-28 00:00:00,True
168,Sunanda Jadhav,Solapur,Maharashtra,2021-11-23 00:00:00,True
169,Sunanda Kulkarni,Mandya,Karnataka,2023-02-08 00:00:00,True
170,Lakshman Hiremath,Raichur,Karnataka,2022-02-25 00:00:00,True
171,Gurappa Desai,Dharwad,Karnataka,2024-05-01 00:00:00,False
172,Prakash Kamble,Belgaum,Karnataka,2021-07-05 00:00:00,True
173,Sharanappa Desai,Mysore,Karnataka,2020-03-03 00:00:00,True
174,Mallikarjun Angadi,Mysore,Karnataka,2022-10-05 00:00:00,True
175,Ganesh Badiger,Solapur,Maharashtra,2021-11-01 00:00:00,True
176,Prakash Desai,Mandya,Karnataka,2019-08-12 00:00:00,True
177,Kavita Hosamani,Raichur,Karnataka,2024-05-15 00:00:00,True
178,Yallappa Talwar,Gulbarga,Karnataka,2019-04-13 00:00:00,True
179,Prakash Chougule,Hassan,Karnataka,2019-11-13 00:00:00,True
180,Sunanda Kulkarni,Hassan,Karnataka,2023-12-16 00:00:00,True
181,Parvati Angadi,Raichur,Karnataka,2023-06-08 00:00:00,True
182,Ganesh Naik,Hassan,Karnataka,2024-02-21 00:00:00,True
183,Shobha Badiger,Raichur,Karnataka,2019-10-12 00:00:00,True
184,Prakash Mane,Dharwad,Karnataka,2024-07-06 00:00:00,True
185,Siddappa Biradar,Tumkur,Karnataka,2025-03-09 00:00:00,True
186,Shobha Chougule,Mandya,Karnataka,2024-06-26 00:00:00,False
187,Shivanand Angadi,Dharwad,Karnataka,2025-11-24 00:00:00,True
188,Sunanda Kamble,Mysore,Karnataka,2019-07-01 00:00:00,True
189,Gurappa Kamble,Dharwad,Karnataka,2024-12-22 00:00:00,True
190,Lakshmi Kamble,Mysore,Karnataka,2019-11-08 00:00:00,True
191,Devendra Mane,Hassan,Karnataka,2023-04-21 00:00:00,False
192,Renuka Chougule,Mandya,Karnataka,2024-07-04 00:00:00,True
193,Prakash Talwar,Belgaum,Karnataka,2019-02-08 00:00:00,True
194,Yallappa Badiger,Bijapur,Karnataka,2021-11-24 00:00:00,True
195,Chandru Naik,Tumkur,Karnataka,2022-11-04 00:00:00,True
196,Chandru Biradar,Hassan,Karnataka,2019-12-12 00:00:00,True
197,Lakshman Kamble,Mandya,Karnataka,2019-11-12 00:00:00,True
198,Siddappa Kulkarni,Solapur,Maharashtra,2022-05-07 00:00:00,True
199,Mahadev Shetty,Mandya,Karnataka,2024-11-20 00:00:00,True
200,Shobha Mane,Belgaum,Karnataka,2020-03-26 00:00:00,True
201,Lakshmi Shetty,Dharwad,Karnataka,2023-04-27 00:00:00,True
202,Parvati Naik,Bellary,Karnataka,2025-10-01 00:00:00,True
203,Shivanand Biradar,Bijapur,Karnataka,2025-03-04 00:00:00,True
204,Shivanand Patil,Belgaum,Karnataka,2021-04-19 00:00:00,True
205,Ganesh Kulkarni,Bijapur,Karnataka,2020-12-14 00:00:00,True
206,Mahadev Talwar,Sangli,Maharashtra,2022-06-17 00:00:00,True
207,Hanumanth Angadi,Mandya,Karnataka,2023-01-24 00:00:00,True
208,Hanumanth Chougule,Solapur,Maharashtra,2022-11-01 00:00:00,False
209,Sunanda Jadhav,Mandya,Karnataka,2022-11-04 00:00:00,True
210,Mahadev Hiremath,Mandya,Karnataka,2021-10-05 00:00:00,False
211,Mallikarjun Mane,Raichur,Karnataka,2022-10-17 00:00:00,True
212,Mallikarjun Hosamani,Tumkur,Karnataka,2019-12-04 00:00:00,True
213,Parvati Shetty,Solapur,Maharashtra,2022-08-08 00:00:00,True
214,Yallappa Hosamani,Mandya,Karnataka,2024-02-11 00:00:00,True
215,Ganesh Kamble,Solapur,Maharashtra,2020-11-16 00:00:00,False
216,Mahadev Hosamani,Dharwad,Karnataka,2019-12-24 00:00:00,True
217,Devendra Kulkarni,Bijapur,Karnataka,2023-09-18 00:00:00,True
218,Chandru Kamble,Dharwad,Karnataka,2025-11-25 00:00:00,True
219,Suresh Chougule,Sangli,Maharashtra,2023-05-12 00:00:00,False
220,Vittal Naik,Tumkur,Karnataka,2024-08-08 00:00:00,True
221,Sunanda Kamble,Bellary,Karnataka,2019-05-19 00:00:00,True
222,Sunanda Patil,Mysore,Karnataka,2023-11-27 00:00:00,True
223,Ningappa Biradar,Belgaum,Karnataka,2024-05-11 00:00:00,True
224,Sunanda Naik,Bijapur,Karnataka,2023-11-13 00:00:00,False
225,Kavita Patil,Sangli,Maharashtra,2019-12-17 00:00:00,True
226,Gurappa Mane,Mysore,Karnataka,2020-06-10 00:00:00,True
227,Mallikarjun Hiremath,Hassan,Karnataka,2019-03-06 00:00:00,True
228,Savitri Hiremath,Belgaum,Karnataka,2021-08-22 00:00:00,True
229,Gurappa Hosamani,Hassan,Karnataka,2021-04-25 00:00:00,True
230,Chandru Gowda,Bellary,Karnataka,2021-11-22 00:00:00,True
231,Savitri Chougule,Tumkur,Karnataka,2019-04-13 00:00:00,True
232,Ramesh Shetty,Belgaum,Karnataka,2021-04-25 00:00:00,True
233,Prakash Mane,Raichur,Karnataka,2019-01-16 00:00:00,True
234,Shivanand Jadhav,Bijapur,Karnataka,2023-12-08 00:00:00,True
235,Shobha Kamble,Solapur,Maharashtra,2019-07-28 00:00:00,True
236,Ramesh Badiger,Mysore,Karnataka,2019-06-19 00:00:00,True
237,Renuka Hosamani,Mysore,Karnataka,2021-02-13 00:00:00,False
238,Ningappa Badiger,Bellary,Karnataka,2025-12-12 00:00:00,False
239,Lakshman Hosamani,Dharwad,Karnataka,2023-07-17 00:00:00,False
240,Geeta Mane,Raichur,Karnataka,2020-06-25 00:00:00,True
241,Kavita Gowda,Tumkur,Karnataka,2023-09-07 00:00:00,True
242,Siddappa Naik,Bellary,Karnataka,2020-02-05 00:00:00,True
243,Mallikarjun Naik,Bijapur,Karnataka,2025-11-03 00:00:00,True
244,Nagaraj Badiger,Solapur,Maharashtra,2025-10-25 00:00:00,True
245,Sharanappa Mane,Solapur,Maharashtra,2025-11-11 00:00:00,True
246,Nagaraj Badiger,Dharwad,Karnataka,2024-05-26 00:00:00,True
247,Siddappa Hiremath,Belgaum,Karnataka,2021-08-15 00:00:00,False
248,Lakshmi Chougule,Bellary,Karnataka,2019-11-28 00:00:00,True
249,Mallikarjun Jadhav,Dharwad,Karnataka,2022-10-18 00:00:00,True
250,Suresh Badiger,Sangli,Maharashtra,2025-10-21 00:00:00,True
251,Nagaraj Naik,Hassan,Karnataka,2019-08-04 00:00:00,True
252,Renuka Hiremath,Bellary,Karnataka,2023-11-06 00:00:00,False
253,Gurappa Badiger,Sangli,Maharashtra,2023-09-20 00:00:00,True
254,Prakash Jadhav,Bellary,Karnataka,2022-06-22 00:00:00,True
255,Kavita Mane,Solapur,Maharashtra,2019-06-04 00:00:00,True
256,Prakash Biradar,Mysore,Karnataka,2024-11-20 00:00:00,True
257,Mahadev Naik,Bellary,Karnataka,2021-05-21 00:00:00,True
258,Shivanand Hiremath,Mysore,Karnataka,2021-09-13 00:00:00,True
259,Lakshmi Naik,Bellary,Karnataka,2024-12-27 00:00:00,True
260,Hanumanth Hiremath,Solapur,Maharashtra,2024-11-14 00:00:00,True
261,Siddappa Chougule,Belgaum,Karnataka,2020-04-11 00:00:00,True
262,Vittal Angadi,Mandya,Karnataka,2020-03-03 00:00:00,True
263,Hanumanth Kulkarni,Dharwad,Karnataka,2024-06-25 00:00:00,True
264,Yallappa Naik,Hassan,Karnataka,2020-03-27 00:00:00,True
265,Shobha Desai,Hassan,Karnataka,2024-08-02 00:00:00,True
266,Geeta Angadi,Solapur,Maharashtra,2022-10-10 00:00:00,True
267,Lakshman Angadi,Mandya,Karnataka,2021-08-27 00:00:00,True
268,Sharanappa Badiger,Solapur,Maharashtra,2022-05-25 00:00:00,True
269,Chandru Desai,Tumkur,Karnataka,2025-04-26 00:00:00,True
270,Suresh Talwar,Raichur,Karnataka,2025-06-18 00:00:00,True
271,Sunanda Gowda,Sangli,Maharashtra,2021-02-25 00:00:00,True
272,Hanumanth Naik,Mandya,Karnataka,2025-07-03 00:00:00,True
273,Lakshmi Badiger,Gulbarga,Karnataka,2021-01-14 00:00:00,False
274,Siddappa Angadi,Tumkur,Karnataka,2022-02-12 00:00:00,True
275,Basavaraj Mane,Bellary,Karnataka,2025-03-05 00:00:00,False
276,Renuka Naik,Mandya,Karnataka,2025-12-16 00:00:00,True
277,Mahadev Patil,Belgaum,Karnataka,2021-04-27 00:00:00,True
278,Mallikarjun Hosamani,Sangli,Maharashtra,2019-05-08 00:00:00,True
279,Lakshman Hosamani,Belgaum,Karnataka,2024-10-15 00:00:00,False
280,Mallikarjun Patil,Mandya,Karnataka,2024-09-19 00:00:00,True
281,Prakash Hosamani,Bijapur,Karnataka,2019-10-12 00:00:00,True
282,Ningappa Hiremath,Mysore,Karnataka,2023-06-03 00:00:00,True
283,Hanumanth Patil,Tumkur,Karnataka,2022-08-02 00:00:00,True
284,Ganesh Patil,Bellary,Karnataka,2021-02-12 00:00:00,True
285,Kavita Gowda,Solapur,Maharashtra,2025-10-24 00:00:00,True
286,Suresh Kamble,Bijapur,Karnataka,2023-06-27 00:00:00,True
287,Gurappa Talwar,Solapur,Maharashtra,2024-03-26 00:00:00,True
288,Parvati Badiger,Sangli,Maharashtra,2019-05-07 00:00:00,False
289,Suresh Mane,Gulbarga,Karnataka,2021-09-13 00:00:00,True
290,Nagaraj Biradar,Tumkur,Karnataka,2019-11-07 00:00:00,True
291,Sunanda Mane,Belgaum,Karnataka,2021-02-26 00:00:00,True
292,Geeta Badiger,Mysore,Karnataka,2022-06-06 00:00:00,True
293,Siddappa Biradar,Mandya,Karnataka,2025-02-24 00:00:00,True
294,Mallikarjun Desai,Mysore,Karnataka,2023-05-11 00:00:00,False
295,Savitri Chougule,Bellary,Karnataka,2021-08-20 00:00:00,True
296,Renuka Badiger,Bijapur,Karnataka,2021-08-02 00:00:00,True
297,Mallikarjun Hosamani,Bellary,Karnataka,2021-11-26 00:00:00,True
298,Savitri Jadhav,Dharwad,Karnataka,2021-09-26 00:00:00,True
299,Ramesh Naik,Bijapur,Karnataka,2025-10-22 00:00:00,True
300,Shivanand Hiremath,Belgaum,Karnataka,2020-11-12 00:00:00,True
